id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
311193,"Anno 1800: The Board Game",2020,289,7.20455,7.71895,7647,0,,,,,,183,,
305096,"Endless Winter: Paleoamericans",2022,290,7.20238,7.70665,8561,0,,,,,,191,,
128621,Viticulture,2013,291,7.20063,7.4871,14295,0,,,,,,217,,
27708,"1960: The Making of the President",2007,292,7.20054,7.62209,9358,0,,,,,,198,,
239188,"Chronicles of Crime",2018,293,7.19791,7.57418,23149,0,,,,,,,75,
140620,"Lewis & Clark: The Expedition",2013,294,7.19395,7.44481,15828,0,,,,,,219,,
284653,"Mind MGMT: The Psychic Espionage “Game.”",2021,295,7.1909,7.90489,5566,0,,,,,,178,,
156546,Monikers,2015,296,7.19007,7.78142,6500,0,,,,,4,,,
323612,Bitoku,2021,297,7.18874,7.82578,6447,0,,,,,,186,,
27833,Steam,2009,298,7.18749,7.54925,10292,0,,,,,,203,,
291572,Oath,2021,299,7.18719,7.78234,7847,0,,,,,,213,80,
127060,"Bora Bora",2013,300,7.18693,7.55631,10346,0,,,,,,205,,
204583,Kingdomino,2016,301,7.18673,7.30302,48803,0,,,,71,,,,
760,"Battle Line",2000,302,7.18389,7.41518,17680,0,,,,,,235,,
298047,"Marvel United",2020,303,7.1836,7.57358,11342,0,,,,62,,,,
297562,"Kemet: Blood and Sand",2021,304,7.18193,7.96492,5027,0,,,,,,179,,
146508,"T.I.M.E Stories",2015,305,7.17963,7.3747,27953,0,,,,,,,84,
230253,"Star Realms: Frontiers",2018,306,7.17952,7.9328,5419,0,,,,,,202,,
302723,"Forgotten Waters",2020,307,7.17847,7.80598,6305,0,,,,,,,47,
351913,Tiletum,2022,308,7.17767,7.9031,5381,0,,,,,,176,,
144344,Rococo,2013,309,7.17752,7.58228,9158,0,,,,,,204,,
2655,Hive,2001,310,7.17667,7.31978,37938,0,17,,,,,,,
246784,Cryptid,2018,311,7.17425,7.43995,15154,0,,,,65,,237,,
206718,Ethnos,2017,312,7.17177,7.46006,13802,0,,,,,,229,,
139976,"Cthulhu Wars",2015,313,7.17143,7.86021,6329,0,,,,,,210,48,
244271,"Dice Throne: Season Two – Battle Chest",2018,314,7.17128,8.05902,4751,0,,,,48,,,,
92828,"Dixit: Odyssey",2011,315,7.16818,7.3953,21496,0,,,,,17,,,
108745,Seasons,2012,316,7.16781,7.34677,25419,0,,,,,,244,,
150145,"Skull King",2013,317,7.16591,7.53606,11236,0,,,,63,,,,
155068,"Arcadia Quest",2014,318,7.16528,7.60182,10532,0,,,,,,,68,
